# Phonetic series according to 上古音系 (Old Chinese Phonology), by 鄭張尚芳 (Shangfang Zhengzhang), 2003.
# Downloaded from https://en.wiktionary.org/wiki/Wiktionary:About_Chinese/phonetic_series and /phonetic_series_2
component,IPA,members
品,(*pʰrɯmʔ),臨瀶品
員,(*ɢon),員圓塤損縜隕殞溳磒霣愪勛鄖篔貟韻
唯,(*ɢʷi),匯擓淮睢嶉趡踓雖濉倠婎蓶維惟唯濰琟鷕帷鵻
商,(*hljaŋ),商蔏螪
啓,(*kʰeːʔ),啓啟棨綮晵闙启
啚,(*prɯʔ),鄙啚
善,(*ɡjenʔ),橏嫸善譱蟮鱔僐鄯墡磰繕膳饍
喜,(*qʰlɯʔ),嘻嬉禧熹僖歖譆瞦喜憙蟢糦饎
喬,(*krew),驕嬌憍穚鷮蕎喬簥撟矯鱎敽蟜譑蹻繑鞽趫嘺橋僑鐈毊轎嶠獢屩
單,(*taːn),嚲癉奲驒鼉磾鷤觶單鄲殫簞匰襌啴彈貚撣潬僤憚樿燀戰闡繟幝嘽灛蟬禪嬋墠鱓蕇
喿,(*saːws),藻澡璪繰躁趮操幧懆鄵鐰臊鱢燥噪髞喿譟劋橾
嗇,(*srɯɡ),濇嗇穡薔轖繬嬙懎
嘼,(*qʰlus),獸嘼
囂,(*ŋaːw),囂虈
囚,(*lju),鮂囚泅苬
四,(*hljids),訵四泗駟柶牭呬
回,(*ɡuːl),回徊茴洄迴佪蛔
囟,(*snɯns),崽偲腮鰓揌顋愢毢諰細思緦罳禗楒葸恖颸囟顖毸
因,(*qin),欭烟胭咽恩煾因姻茵鞇氤洇駰絪裀
困,(*kʰuːns),硱梱捆綑閫悃稛裍齫困涃
囱,(*sʰroːŋ),牎窗窓囱總熜傯緫揔偬囪璁驄蔥匆怱葱楤聦繱騘鍯聰愡檧憽幒
囷,(*kʰrun),菌麇麕囷箘攈
圂,(*ɡuːns),溷慁圂
圖,(*daː),啚圖
土,(*l̥ʰaːʔ),社肚土吐芏杜靯荰
圣,(*kʰuːd),怪恠圣
圥,(*ruɡ),灶竈鼀
圭,(*kʷeː),街鞋娾佳鮭涯崖啀厓捱睚娃洼哇胿溎觟黊蘳蛙窪卦挂掛詿罣絓鼃圭珪邽閨袿窐茥桂筀奎刲蝰楏睳畦眭烓跬恚硅
坐,(*zoːlʔ),脞侳挫夎遳銼剉莝趖矬痤睉坐座髽
坙,,羥俓牼硁誙娙莖痙
坴,(*m·ruɡ),睦坴陸稑鵱鯥淕踛
垂,(*djol),埵綞涶唾厜腄箠娷諈錘甀硾捶垂陲倕菙睡
垔,(*qin),黫甄薽籈煙湮堙禋闉垔陻諲歅鄄
垚,(*ŋeːw),撓鐃譊橈磽墝穘顤燒饒蟯蕘襓繞遶嬈趬蹺翹澆驍僥堯垚嶢獟膮嘵憢曉皢
埶,(*ŋeds),褹勢藝囈埶蓺槸爇褻暬熱槷
執,(*tjib),騺摯贄鷙墊慹謺褺蓻縶漐蟄執瓡
堇,(*ɡrɯn),囏螼堇墐𥎊僅瑾覲殣饉廑瘽歏鄞謹槿漌慬勤懃懄
塞,(*slɯːɡs),賽塞簺僿寨
士,(*zrɯʔ),茌士仕
壬,(*l̥ʰeːŋʔ),紝鵀拰賃任壬恁銋荏餁栠袵飪妊衽
壴,(*tos),壴廚躕櫥幮樹澍尌
壹,(*qlid),曀殪豷懿饐鷧撎亄噎壹
壽,(*djuʔ),禱擣檮壔懤濤燾翿幬儔譸籌疇躊燽薵魗醻壽璹鑄
夅,(*ɡruːŋ),贛灨竷戇洚降絳栙夅跭隆癃窿霳
夆,(*pʰoŋ),胮逄舽
夌,(*rɯŋ),棱稜輘倰祾踜凌菱陵綾鯪淩夌蔆崚掕𩜁庱睖
复,(*buɡ),愎鍑覆復椱複馥腹輹蝮蕧复鰒澓
夏,(*ɡraːʔ),榎廈嗄夏
夐,(*qʰʷeːns),讂矎夐瓊藑觼
夒,(*ml'uː),獿犪擾
夔,(*ɡrul),夔犪躨
夕,(*ljaːɡ),夕汐穸
夗,(*qonʔ),涴埦豌剜眢蜿帵碗椀盌腕惋捥睕琬鴛鵷惌宛怨葾夗婉菀苑踠畹倇晼黦焥
夙,(*suɡ),洬夙
多,(*ʔl'aːl),多哆跢痑爹陊橠袲奓栘黟趍誃簃眵恀侈姼鉹垑袳卶宜誼竩移迻扅拸熪謻蛥
夢,(*mɯŋ),蘉瞢懜懵甍薨夢鄸
大,(*daːds),馱大忕太汰汏軑釱达杕
天,(*qʰl'iːn),添忝悿舔菾天吞祆蚕
夫,(*pa),趺肤邞鈇衭玞夫鳺扶妋麩蚨芙颫枎
夬,(*kʷraːds),袂夬快駃筷炔觖缺蒛吷妜決訣抉玦芵赽鴂鈌决疦蚗趹
夭,(*qoːwʔ),笑夭镺芺妖祅枖訞殀仸妋飫沃鋈
央,(*qaŋ),鴦佒咉眏姎坱映泱盎駚軮醠央秧殃鞅鉠雵胦柍詇岟炴怏紻英瑛霙韺媖渶鶧楧暎
夰,(*kuːʔ),夰昦
失,(*hliɡ),眣蛈迭跌瓞昳胅軼苵镻詄泆趃柣抶秩帙紩袠翐妷失佚劮
夷,(*lil),桋荑銕鴺鮧洟羠咦夷姨痍峓恞眱蛦胰跠
夾,(*kreːb),瘞瘱脥浹挾夾郟筴裌鵊狹峽硤陜陿翜梜頰莢鋏蛺唊悏匧愜篋俠綊
奄,(*qromʔ),庵鵪菴馣晻唵黤埯淹閹崦醃掩奄罨裺俺腌殗餣
奇,(*kral),奇畸剞羇掎攲躸踦寄徛欹崎觭碕綺婍騎琦鵸錡輢齮犄猗椅旖陭檹漪倚
奈,(*naːls),奈柰渿捺
奏,(*ʔsoːs),奏凑腠輳楱湊
