word	function	roman	meaning	freq
成長	Nv4	cheng2 zhang3	grow up,mature	1711
成長	VH12	cheng2 zhang3	grow up,mature	1711
能夠	Dbab	neng2 gou4	can,able,would,may	1711
決定	VE2	jue2 ding4	decide,resolve,make up one's mind,determine	1710
學習	VC2	xue2 xi2	study,learn,emulate	1693
學習	Nv1	xue2 xi2	study,learn,emulate	1693
誰	Nhb	shei2	who,someone,anyone	1683
見	VE2	jian4	see,be exposed to,become visible,call on,refer to,meet with,appear to be,appear,vide,catch sight of,meet	1681
半	Neqa	ban4	det.: half	1670
半	Neqb	ban4	det.: half	1670
時代	Nac	shi2 dai4	day,period,a period in one's life,epoch,present time,historical period,time,chapter,period in one's life,modern times,historic period,contemporary world,times,era,modern world,age	1664
完成	VC31	wan2 cheng2	fill in,finish out,fulfil,practice,complete,finish,encompass,clear_up,top_off,cleave,top off,accomplishment,make out,effect,perfective,fulfill,go through,exercise,discharge,fill out,completion,end,run,bring ... to fruition,round_out,achieve,execute,round out,make,cap off,accomplish,practise,follow through,come,finalize,fulfilment,dispatch,bring ...	1663
帶	VC2	dai4	look after,raise	1662
相當	Dfa	xiang1 dang1	quite,fairly,considerably	1657
同學	Nab	tong2 xue2	class fellow,fellow student,condisciple,classmate,schoolmate,schoolfellow,form of address used in speaking to a student	1652
件	Nfa	jian4	correspondence,paper,document,bit,m.[general],,single item,letter,piece	1651
能力	Nad	neng2 li4	department,potency,ability,acquisition,acquirement,capacity,performance,oomph,sufficiency,energy,competence,accomplishment,size,might,faculty,hand,coequal,efficiency,inner resources,capability,giftie,attainment,capableness,zip,skill,competency,power	1639
別人	Nhaa	bie2 ren2	others,other people,another person	1637
生命	Nac	sheng1 ming4	breath,god,head,anima,days,organism,blood,life,living thing,skin,longevity,being,vital,life form	1628
下	Ncda	xia4	below,under,underneath	1626
來	Ng	lai2	time (since)	1617
場	Nfa	chang2	m.[event]	1615
會議	Nac	hui4 yi4	synod,moot,conference,board,convocation,soviet,congress,talks,indaba,negotiation,junta,group discussion,convention,meeting place,session,council,rendezvous,colloquy,coming together,powwow,seance,meeting,forum,consultation,roll-up,get-together,assembly	1612
容易	VH15	rong2 yi4	easy	1611
開發	Nv1	kai1 fa1	develop,open up,exploit	1609
開發	VC2	kai1 fa1	develop,open up,exploit	1609
民眾	Nab	min2 zhong4	civil,crowd,masses,populace,rank_and_file,the masses,the masses of the people,the populace,demos,mob,multitude,plebs,commons,the common people,the people,million,public	1603
事情	Nac	shi4 qing2	proposition,pie,shebang,thing,affair,occasions,undertaking,concern,question,business,schmear,matter	1601
書	Nab	shu1	volume,document,style of calligraphy,book,script,letter	1598
事實	Nac	shi4 shi2	mood,circumstance,fact,factual,reality,verity,case,deed,sooth,troth,actuality,truth,matter,matter of fact	1597
有關	VJ1	you3 guan1	be related	1581
自	P59	zi4	from,since	1580
組織	Nac	zu3 zhi1	tissue,nerve,weave,organization,organized system	1575
言	VE2	yan2	say,talk,speak	1568
多	Dbb	duo1	more than the correct/required number,much/far more	1567
愛	VL1	ai4	love,like,be fond of,be keen on,cherish,be apt to	1553
建立	Nv1	jian4 li4	establish,set up,found	1552
建立	VC31	jian4 li4	establish,set up,found	1552
相關	VH11	xiang1 guan1	cognate,relational,interrelate,associated,be interrelated,relevant,related,be mutually related	1552
均	Dab	38139	without exception,all	1551
